@relation BOOKKEEPER-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {4.0.0,4.1.0,4.1.1,4.2.1,4.2.2,4.2.3,4.3.0}
@attribute LOC_Touched numeric
@attribute NumberRevisions numeric
@attribute NumberBugFix numeric
@attribute LOC_Added numeric
@attribute MAX_LOC_Added numeric
@attribute Chg_Set_Size numeric
@attribute Max_Chg_Set numeric
@attribute AVG_Chg_Set numeric
@attribute Avg_LOC_Added numeric
@attribute bugginess {true,false}

@data
4.0.0,347,3,1,344,343,77,44,25.666666,114.666664,true
4.0.0,78,1,0,78,78,28,28,28,78,false
4.0.0,276,3,1,246,246,52,44,17.333334,82,true
4.0.0,369,1,0,369,369,31,31,31,369,false
4.0.0,42,1,0,42,42,31,31,31,42,false
4.0.0,72,1,0,72,72,31,31,31,72,false
4.0.0,55,1,0,55,55,44,44,44,55,false
4.0.0,397,4,3,377,377,55,44,13.75,94.25,true
4.0.0,224,4,3,216,216,55,44,13.75,54,true
4.0.0,102,2,1,101,61,80,44,40,50.5,true
4.0.0,206,1,1,206,206,4,4,4,206,true
4.0.0,261,1,1,261,261,36,36,36,261,true
4.0.0,136,1,1,136,136,36,36,36,136,true
4.0.0,47,1,1,47,47,36,36,36,47,true
4.0.0,46,1,1,46,46,36,36,36,46,true
4.0.0,47,1,1,47,47,36,36,36,47,true
4.0.0,47,1,1,47,47,36,36,36,47,true
4.0.0,47,1,1,47,47,36,36,36,47,true
4.0.0,94,1,1,94,94,36,36,36,94,true
4.0.0,98,1,1,98,98,36,36,36,98,true
4.0.0,144,1,1,144,144,36,36,36,144,true
4.0.0,204,1,1,204,204,36,36,36,204,true
4.0.0,514,1,1,514,514,36,36,36,514,true
4.0.0,193,1,1,193,193,36,36,36,193,true
4.0.0,253,2,2,251,251,41,36,20.5,125.5,true
4.0.0,90,1,1,90,90,3,3,3,90,true
4.1.0,471,12,7,98,34,98,26,8.166667,8.166667,true
4.1.0,96,8,6,73,60,52,20,6.5,9.125,true
4.1.0,172,1,1,172,172,6,6,6,172,true
4.1.0,61,2,2,41,41,43,37,21.5,20.5,true
4.1.0,161,4,3,136,97,83,37,20.75,34,true
4.1.0,305,3,3,224,219,53,37,17.666666,74.666664,true
4.1.0,10,2,2,8,8,8,6,4,4,true
4.1.0,246,1,1,246,246,13,13,13,246,true
4.1.0,9,2,2,9,5,50,37,25,4.5,true
4.1.0,35,3,3,24,23,58,37,19.333334,8,true
4.1.0,18,2,2,17,17,50,37,25,8.5,true
4.1.0,5,1,1,5,5,13,13,13,5,true
4.1.0,5,1,1,5,5,13,13,13,5,true
4.1.0,4,1,1,4,4,13,13,13,4,true
4.1.0,4,1,1,4,4,13,13,13,4,true
4.1.0,25,1,1,22,22,13,13,13,22,true
4.1.0,86,3,2,58,53,67,37,22.333334,19.333334,true
4.1.0,7,2,2,7,5,50,37,25,3.5,true
4.1.0,49,4,4,37,31,48,20,12,9.25,true
4.1.0,15,2,2,1,1,17,15,8.5,0.5,true
4.1.0,41,2,2,39,39,18,12,9,19.5,true
4.1.0,421,7,6,94,30,71,20,10.142858,13.428572,true
4.1.0,198,6,6,152,151,75,20,12.5,25.333334,true
4.1.0,54,5,3,48,44,51,26,10.2,9.6,true
4.1.0,144,9,6,66,20,89,26,9.888889,7.333334,true
4.1.0,89,2,0,88,84,8,5,4,44,false
4.1.0,27,1,0,27,27,3,3,3,27,false
4.1.0,5,1,1,3,3,6,6,6,3,true
4.1.0,51,4,4,15,7,18,7,4.5,3.75,true
4.1.0,35,2,2,5,3,13,7,6.5,2.5,true
4.1.0,33,2,1,0,0,32,26,16,0,true
4.1.0,108,5,3,101,101,45,12,9,20.2,true
4.1.0,134,10,7,32,15,80,26,8,3.2,true
4.1.0,13,4,0,0,0,49,26,12.25,0,false
4.1.0,57,3,2,56,30,18,7,6,18.666666,true
4.1.0,1110,20,11,268,97,187,26,9.35,13.4,true
4.1.0,58,1,0,58,58,14,14,14,58,false
4.1.0,90,1,0,90,90,14,14,14,90,false
4.1.0,144,9,7,105,59,108,26,12,11.666667,true
4.1.0,236,1,0,236,236,14,14,14,236,false
4.1.0,183,6,4,173,110,43,14,7.166666,28.833334,true
4.1.0,60,1,0,60,60,14,14,14,60,false
4.1.0,132,2,0,79,79,23,14,11.5,39.5,false
4.1.0,738,8,4,105,89,78,20,9.75,13.125,true
4.1.0,35,2,0,33,33,21,14,10.5,16.5,false
4.1.0,54,2,0,52,52,21,14,10.5,26,false
4.1.0,14,1,0,5,5,4,4,4,5,false
4.1.0,4,1,0,0,0,4,4,4,0,false
4.1.0,49,3,3,46,26,22,15,7.333334,15.333333,true
4.1.0,359,2,1,357,357,45,37,22.5,178.5,true
4.1.0,92,1,0,92,92,8,8,8,92,false
4.1.0,1064,2,1,1048,1029,45,37,22.5,524,true
4.1.0,427,2,1,424,424,45,37,22.5,212,true
4.1.0,405,3,2,398,397,48,37,16,132.66667,true
4.1.0,30,1,0,30,30,6,6,6,30,false
4.1.0,622,9,7,587,394,85,20,9.444445,65.22222,true
4.1.0,161,3,2,158,157,26,12,8.666667,52.666668,true
4.1.0,6,1,1,0,0,12,12,12,0,true
4.1.0,21,2,2,5,4,14,12,7,2.5,true
4.1.0,186,5,2,25,19,44,12,8.8,5,true
4.1.0,116,4,3,37,14,27,12,6.75,9.25,true
4.1.0,130,2,2,126,126,23,16,11.5,63,true
4.1.0,20,3,3,18,8,38,16,12.666667,6,true
4.1.0,43,5,4,8,4,76,26,15.2,1.6,true
4.1.0,76,6,5,3,2,86,26,14.333333,0.5,true
4.1.0,99,2,2,76,76,32,20,16,38,true
4.1.0,37,1,1,15,15,12,12,12,15,true
4.1.0,9,1,1,0,0,12,12,12,0,true
4.1.0,11,3,2,2,2,54,26,18,0.666667,true
4.1.0,8,2,2,1,1,15,8,7.5,0.5,true
4.1.0,8,2,2,1,1,15,8,7.5,0.5,true
4.1.0,57,3,2,42,42,22,12,7.333334,14,true
4.1.0,195,5,3,181,115,59,20,11.8,36.2,true
4.1.0,221,4,1,199,160,55,26,13.75,49.75,true
4.1.0,169,2,2,166,166,18,12,9,83,true
4.1.0,100,3,3,72,46,19,8,6.333334,24,true
4.1.0,66,3,3,44,30,51,37,17,14.666667,true
4.1.0,207,3,2,169,132,39,27,13,56.333332,true
4.1.0,32,4,3,26,23,41,26,10.25,6.5,true
4.1.0,317,8,7,65,27,56,12,7,8.125,true
4.1.0,331,3,2,318,317,40,20,13.333333,106,true
4.1.0,561,7,2,525,378,63,26,9,75,true
4.1.0,40,1,1,40,40,7,7,7,40,true
4.1.0,216,4,1,212,211,26,10,6.5,53,true
4.1.0,532,5,1,449,425,34,10,6.8,89.8,true
4.1.0,280,2,0,267,260,18,10,9,133.5,false
4.1.0,222,3,1,210,177,21,10,7,70,true
4.1.0,217,5,4,217,133,48,20,9.6,43.4,true
4.1.0,5,2,2,0,0,32,20,16,0,true
4.1.0,321,2,2,319,298,23,20,11.5,159.5,true
4.1.0,202,2,2,196,195,28,20,14,98,true
4.1.0,50,2,1,45,40,46,26,23,22.5,true
4.1.0,12,1,0,12,12,27,27,27,12,false
4.1.0,241,1,0,241,241,27,27,27,241,false
4.1.0,3,1,0,1,1,27,27,27,1,false
4.1.0,43,3,1,40,28,81,37,27,13.333333,true
4.1.0,3,1,0,3,3,27,27,27,3,false
4.1.0,60,2,1,52,40,64,37,32,26,true
4.1.0,6348,1,0,0,0,27,27,27,0,false
4.1.0,71,4,3,47,26,45,27,11.25,11.75,true
4.1.0,10,1,0,0,0,27,27,27,0,false
4.1.0,13,1,0,13,13,27,27,27,13,false
4.1.0,82,3,1,77,47,39,27,13,25.666666,true
4.1.0,666,2,0,665,665,30,26,15,332.5,false
4.1.0,3,1,1,0,0,12,12,12,0,true
4.1.0,345,3,2,339,336,29,12,9.666667,113,true
4.1.0,4,1,1,0,0,12,12,12,0,true
4.1.0,5,1,1,0,0,12,12,12,0,true
4.1.0,4,1,1,0,0,12,12,12,0,true
4.1.0,48,1,0,48,48,5,5,5,48,false
4.1.0,27,1,0,27,27,5,5,5,27,false
4.1.0,37,1,0,37,37,5,5,5,37,false
4.1.0,127,1,1,127,127,3,3,3,127,true
4.1.0,17,3,3,16,15,28,15,9.333333,5.333334,true
4.1.0,929,9,6,841,712,76,26,8.444445,93.44444,true
4.1.0,56,2,0,53,53,17,10,8.5,26.5,false
4.1.0,143,2,0,113,113,17,10,8.5,56.5,false
4.1.0,77,2,0,69,69,17,10,8.5,34.5,false
4.1.0,32,1,0,32,32,7,7,7,32,false
4.1.0,45,1,0,45,45,17,17,17,45,false
4.1.0,64,1,0,64,64,17,17,17,64,false
4.1.0,1,1,0,1,1,17,17,17,1,false
4.1.0,192,2,1,190,190,54,37,27,95,true
4.1.0,63,1,0,63,63,17,17,17,63,false
4.1.0,77,1,0,77,77,17,17,17,77,false
4.1.0,10,1,0,9,9,17,17,17,9,false
4.1.0,14,1,0,14,14,17,17,17,14,false
4.1.0,9,1,0,9,9,17,17,17,9,false
4.1.0,31,1,0,31,31,17,17,17,31,false
4.1.0,52,2,1,51,51,54,37,27,25.5,true
4.1.0,8,1,0,8,8,17,17,17,8,false
4.1.0,3,1,0,3,3,17,17,17,3,false
4.1.0,11,2,1,8,5,54,37,27,4,true
4.1.0,280,5,4,280,127,30,12,6,56,true
4.1.0,77,1,1,77,77,7,7,7,77,true
4.1.0,167,1,1,167,167,7,7,7,167,true
4.1.0,132,1,1,132,132,7,7,7,132,true
4.1.0,25,1,1,25,25,10,10,10,25,true
4.1.0,96,6,4,75,51,70,26,11.666667,12.5,true
4.1.0,5,2,2,4,4,31,16,15.5,2,true
4.1.0,7,1,1,4,4,15,15,15,4,true
4.1.0,11,1,1,11,11,15,15,15,11,true
4.1.0,74,1,1,74,74,3,3,3,74,true
4.1.0,91,1,0,91,91,10,10,10,91,false
4.1.0,213,4,3,189,183,36,16,9,47.25,true
4.1.0,580,3,1,567,550,41,26,13.666667,189,true
4.1.0,1,1,1,0,0,10,10,10,0,true
4.1.0,6,1,1,4,4,10,10,10,4,true
4.1.0,26,2,2,17,10,47,37,23.5,8.5,true
4.1.0,1,1,1,0,0,10,10,10,0,true
4.1.0,16,1,1,2,2,10,10,10,2,true
4.1.0,36,1,1,36,36,1,1,1,36,true
4.1.0,216,2,0,35,35,11,8,5.5,17.5,false
4.1.0,55,1,1,55,55,8,8,8,55,true
4.1.0,272,1,1,272,272,8,8,8,272,true
4.1.0,9,1,1,9,9,8,8,8,9,true
4.1.0,12,1,1,12,12,4,4,4,12,true
4.1.0,44,1,0,22,22,8,8,8,22,false
4.1.0,6,1,1,5,5,3,3,3,5,true
4.1.0,1,1,0,1,1,26,26,26,1,false
4.1.0,41,3,1,8,4,40,26,13.333333,2.666667,true
4.1.0,2,1,0,0,0,26,26,26,0,false
4.1.0,1,1,0,0,0,26,26,26,0,false
4.1.0,5,1,0,5,5,26,26,26,5,false
4.1.0,5,2,1,2,2,42,26,21,1,true
4.1.0,2,1,1,1,1,37,37,37,1,true
4.1.0,1,1,1,1,1,37,37,37,1,true
4.1.0,1,1,1,1,1,37,37,37,1,true
4.1.0,1,1,1,0,0,37,37,37,0,true
4.1.0,1,1,1,0,0,37,37,37,0,true
