Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Bugginess
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestDeathwatcher.java,120,2,0,120,60,4,3,2.0,60.0,false
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,43,9,4,24,6,64,17,7.111111,2.6666667,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerManagerTestCase.java,2,2,2,0,0,20,10,10.0,0.0,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/GcLedgersTest.java,214,4,4,200,54,28,10,7.0,50.0,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/InMemoryMetastoreCursor.java,12,2,2,6,3,20,10,10.0,3.0,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/MSLedgerManagerFactory.java,15,5,4,4,2,48,16,9.6,0.8,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,38,2,2,4,2,20,10,10.0,2.0,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,87,9,8,20,8,72,16,8.0,2.2222223,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,34,6,6,0,0,48,10,8.0,0.0,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,40,4,4,10,5,28,10,7.0,2.5,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ScanAndCompareGarbageCollector.java,34,2,2,6,3,20,10,10.0,3.0,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,144,7,5,46,18,37,12,5.285714,6.571429,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java,245,3,3,241,157,12,6,4.0,80.333336,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieWriteLedgerTest.java,16,2,2,8,4,11,6,5.5,4.0,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,34,4,2,24,7,34,12,8.5,6.0,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,143,7,5,93,29,58,17,8.285714,13.285714,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,227,9,6,144,41,72,24,8.0,16.0,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,15,2,0,10,8,22,14,11.0,5.0,false
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java,139,2,1,138,136,22,14,11.0,69.0,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieAccessor.java,5,1,0,4,4,14,14,14.0,4.0,false
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LogMark.java,83,1,0,83,83,14,14,14.0,83.0,false
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,19,1,0,14,14,14,14,14.0,14.0,false
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,155,7,2,44,37,63,14,9.0,6.285714,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,135,3,1,87,86,33,14,11.0,29.0,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,154,7,3,57,53,66,14,9.428572,8.142858,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,74,2,1,6,3,16,14,8.0,3.0,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,121,5,3,87,53,43,14,8.6,17.4,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/CheckpointSource.java,83,1,0,83,83,14,14,14.0,83.0,false
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,27,3,1,16,10,18,14,6.0,5.3333335,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,390,14,8,105,46,109,17,7.785714,7.5,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTest.java,40,2,0,40,20,8,4,4.0,20.0,false
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,172,6,2,152,64,64,24,10.666667,25.333334,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,24,2,0,24,12,8,4,4.0,12.0,false
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,11,2,2,0,0,4,2,2.0,0.0,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/IndexCorruptionTest.java,2,1,0,0,0,4,4,4.0,0.0,false
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/SyncThread.java,277,3,1,195,192,18,11,6.0,65.0,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/ListLedgersTest.java,223,2,0,223,112,6,3,3.0,111.5,false
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,185,6,4,180,64,40,13,6.6666665,30.0,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,139,1,0,45,45,8,8,8.0,45.0,false
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,14,1,0,9,9,8,8,8.0,9.0,false
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/TestReplicationWorker.java,87,5,2,84,41,68,17,13.6,16.8,true
