@relation BOOKKEEPER6-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {4.2.3}
@attribute LOC_Touched numeric
@attribute NumberRevisions numeric
@attribute NumberBugFix numeric
@attribute LOC_Added numeric
@attribute MAX_LOC_Added numeric
@attribute Chg_Set_Size numeric
@attribute Max_Chg_Set numeric
@attribute AVG_Chg_Set numeric
@attribute Avg_LOC_Added numeric
@attribute bugginess {true,false}

@data
4.2.3,31,1,0,31,31,14,14,14,31,false
4.2.3,17,1,0,1,1,14,14,14,1,false
4.2.3,83,1,0,83,83,14,14,14,83,false
4.2.3,1,1,1,1,1,12,12,12,1,true
4.2.3,1,1,1,1,1,12,12,12,1,true
4.2.3,46,3,2,26,11,27,13,9,8.666667,true
4.2.3,81,1,1,80,80,12,12,12,80,true
4.2.3,45,1,0,45,45,11,11,11,45,false
4.2.3,55,1,0,55,55,11,11,11,55,false
4.2.3,63,1,0,63,63,11,11,11,63,false
4.2.3,49,1,0,49,49,11,11,11,49,false
4.2.3,76,1,0,76,76,11,11,11,76,false
4.2.3,40,1,0,40,40,11,11,11,40,false
4.2.3,96,1,0,96,96,11,11,11,96,false
4.2.3,28,1,0,28,28,11,11,11,28,false
4.2.3,50,1,0,50,50,11,11,11,50,false
4.2.3,63,1,0,63,63,13,13,13,63,false
4.2.3,72,1,0,72,72,13,13,13,72,false
4.2.3,72,1,0,72,72,13,13,13,72,false
4.2.3,77,1,0,77,77,13,13,13,77,false
4.2.3,69,1,0,69,69,13,13,13,69,false
4.2.3,69,1,0,69,69,13,13,13,69,false
4.2.3,78,1,0,78,78,13,13,13,78,false
4.2.3,81,1,0,81,81,13,13,13,81,false
4.2.3,53,1,0,53,53,13,13,13,53,false
4.2.3,99,1,0,99,99,6,6,6,99,false
4.2.3,68,1,0,68,68,6,6,6,68,false
4.2.3,135,2,1,131,127,8,6,4,65.5,true
4.2.3,11,1,1,10,10,3,3,3,10,true
4.2.3,1,1,0,0,0,13,13,13,0,false
4.2.3,84,1,0,84,84,11,11,11,84,false
4.2.3,2,1,0,1,1,11,11,11,1,false
4.2.3,45,1,0,45,45,11,11,11,45,false
4.2.3,7,1,0,1,1,13,13,13,1,false
4.2.3,33,1,0,5,5,13,13,13,5,false
4.2.3,71,1,1,71,71,12,12,12,71,true
4.2.3,1,1,1,0,0,12,12,12,0,true
4.2.3,16,1,1,16,16,12,12,12,16,true
4.2.3,21,1,1,21,21,12,12,12,21,true
4.2.3,23,1,1,1,1,12,12,12,1,true
4.2.3,54,1,1,43,43,12,12,12,43,true
4.2.3,40,2,1,18,18,25,13,12.5,9,true
4.2.3,319,1,0,319,319,11,11,11,319,false
4.2.3,335,1,0,335,335,11,11,11,335,false
4.2.3,43,1,0,43,43,11,11,11,43,false
4.2.3,11,1,0,11,11,13,13,13,11,false
4.2.3,11,1,0,4,4,13,13,13,4,false
4.2.3,41,1,0,41,41,13,13,13,41,false
4.2.3,96,1,0,93,93,13,13,13,93,false
4.2.3,71,2,0,71,70,20,11,10,35.5,false
4.2.3,1,1,1,0,0,2,2,2,0,true
4.2.3,103,1,0,103,103,9,9,9,103,false
4.2.3,55,1,0,55,55,9,9,9,55,false
