@relation BOOKKEEPER7-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {4.3.0}
@attribute LOC_Touched numeric
@attribute NumberRevisions numeric
@attribute NumberBugFix numeric
@attribute LOC_Added numeric
@attribute MAX_LOC_Added numeric
@attribute Chg_Set_Size numeric
@attribute Max_Chg_Set numeric
@attribute AVG_Chg_Set numeric
@attribute Avg_LOC_Added numeric
@attribute bugginess {true,false}

@data
4.3.0,9,3,0,1,1,164,83,54.666668,0.333333,false
4.3.0,11,2,0,3,3,81,61,40.5,1.5,false
4.3.0,7,2,1,2,2,138,77,69,1,true
4.3.0,42,6,4,27,10,221,77,36.833332,4.5,true
4.3.0,28,8,4,7,2,269,77,33.625,0.875,true
4.3.0,169,16,8,128,33,283,77,17.6875,8,true
4.3.0,103,6,3,28,16,177,77,29.5,4.666666,true
4.3.0,12,2,1,4,2,138,77,69,2,true
4.3.0,288,7,5,257,162,173,77,24.714285,36.714287,true
4.3.0,63,5,2,20,20,119,61,23.8,4,true
4.3.0,216,6,4,96,42,168,77,28,16,true
4.3.0,21,6,3,3,2,213,77,35.5,0.5,true
4.3.0,31,2,0,1,1,70,61,35,0.5,false
4.3.0,87,5,2,32,12,189,77,37.8,6.4,true
4.3.0,312,7,2,229,76,209,77,29.857143,32.714287,true
4.3.0,21,3,2,5,2,151,77,50.333332,1.666667,true
4.3.0,30,2,1,9,8,74,61,37,4.5,true
4.3.0,101,2,1,3,2,138,77,69,1.5,true
4.3.0,39,2,1,4,2,138,77,69,2,true
4.3.0,35,2,0,1,1,63,61,31.5,0.5,false
4.3.0,44,2,1,7,5,138,77,69,3.5,true
4.3.0,12,3,2,3,2,151,77,50.333332,1,true
4.3.0,11,2,1,3,2,138,77,69,1.5,true
4.3.0,150,9,8,146,39,660,488,73.333336,16.222221,true
4.3.0,50,3,1,45,42,145,77,48.333332,15,true
4.3.0,76,2,1,20,18,138,77,69,10,true
4.3.0,29,1,0,0,0,61,61,61,0,false
4.3.0,15,1,0,3,3,61,61,61,3,false
4.3.0,211,8,5,157,47,117,61,14.625,19.625,true
4.3.0,7,2,1,1,1,73,61,36.5,0.5,true
4.3.0,60,9,6,44,11,118,61,13.111111,4.888889,true
4.3.0,304,10,8,153,38,129,61,12.9,15.3,true
4.3.0,692,13,4,271,68,222,61,17.076923,20.846153,true
4.3.0,19,2,1,17,16,73,61,36.5,8.5,true
4.3.0,3,1,0,0,0,61,61,61,0,false
4.3.0,48,6,1,33,19,113,61,18.833334,5.5,true
4.3.0,253,5,2,21,17,134,61,26.8,4.2,true
4.3.0,10,2,0,3,2,89,61,44.5,1.5,false
4.3.0,47,3,1,41,27,89,61,29.666666,13.666667,true
4.3.0,275,10,3,64,19,192,61,19.2,6.4,true
4.3.0,109,3,1,108,100,555,488,185,36,true
4.3.0,65,3,1,51,43,93,61,31,17,true
4.3.0,32,1,0,1,1,61,61,61,1,false
4.3.0,56,6,2,8,6,137,61,22.833334,1.333333,true
4.3.0,78,7,3,62,37,144,61,20.571428,8.857142,true
4.3.0,59,3,1,15,15,72,61,24,5,true
4.3.0,323,16,9,225,67,136,61,8.5,14.0625,true
4.3.0,28,4,2,5,4,100,61,25,1.25,true
4.3.0,7,1,0,2,2,61,61,61,2,false
4.3.0,36,5,0,15,9,133,61,26.6,3,false
4.3.0,17,3,1,5,5,106,61,35.333332,1.666667,true
4.3.0,9,1,0,1,1,61,61,61,1,false
4.3.0,18,1,0,1,1,61,61,61,1,false
4.3.0,97,7,3,54,24,103,61,14.714286,7.714286,true
4.3.0,283,10,4,202,118,138,61,13.8,20.2,true
4.3.0,320,7,0,218,117,92,61,13.142858,31.142857,false
4.3.0,153,4,2,90,56,69,61,17.25,22.5,true
4.3.0,302,15,1,172,55,233,61,15.533334,11.466666,true
4.3.0,126,3,2,9,9,69,61,23,3,true
4.3.0,21,2,0,5,5,81,61,40.5,2.5,false
4.3.0,304,9,2,177,93,125,25,13.888889,19.666666,true
4.3.0,33,3,3,14,14,6,2,2,4.666666,true
4.3.0,923,5,5,795,676,104,77,20.8,159,true
4.3.0,215,2,1,173,144,37,20,18.5,86.5,true
4.3.0,234,5,3,228,226,64,21,12.8,45.6,true
4.3.0,7,1,1,6,6,17,17,17,6,true
4.3.0,15,6,4,5,4,80,26,13.333333,0.833333,true
4.3.0,122,5,4,108,84,33,17,6.6,21.6,true
4.3.0,62,6,1,62,12,82,21,13.666667,10.333333,true
4.3.0,116,4,2,100,51,22,9,5.5,25,true
4.3.0,10,1,0,0,0,4,4,4,0,false
4.3.0,122,6,1,74,67,56,26,9.333333,12.333333,true
4.3.0,31,1,0,1,1,3,3,3,1,false
4.3.0,60,2,0,16,13,12,9,6,8,false
4.3.0,194,1,1,194,194,11,11,11,194,true
4.3.0,8,2,1,4,4,94,83,47,2,true
4.3.0,176,1,1,166,166,11,11,11,166,true
4.3.0,19,1,1,19,19,11,11,11,19,true
4.3.0,151,1,1,151,151,11,11,11,151,true
4.3.0,8,2,1,5,5,94,83,47,2.5,true
4.3.0,16,1,1,16,16,11,11,11,16,true
4.3.0,8,1,1,7,7,11,11,11,7,true
4.3.0,68,1,1,57,57,11,11,11,57,true
4.3.0,67,1,1,34,34,11,11,11,34,true
4.3.0,3,3,2,1,1,173,83,57.666668,0.333333,true
4.3.0,12,3,2,3,2,173,83,57.666668,1,true
4.3.0,49,3,1,49,25,64,26,21.333334,16.333334,true
4.3.0,616,10,3,595,111,97,22,9.7,59.5,true
4.3.0,2,2,2,1,1,15,13,7.5,0.5,true
4.3.0,111,3,3,29,14,21,13,7,9.666667,true
4.3.0,41,9,4,30,12,182,77,20.222221,3.333333,true
4.3.0,6,3,1,5,2,115,77,38.333332,1.666667,true
4.3.0,84,7,4,40,14,198,77,28.285715,5.714286,true
4.3.0,169,9,6,102,86,187,77,20.777779,11.333333,true
4.3.0,189,14,7,149,61,270,77,19.285715,10.642858,true
4.3.0,563,17,6,485,85,159,22,9.352942,28.529411,true
4.3.0,191,3,2,189,185,24,17,8,63,true
4.3.0,43,1,0,43,43,17,17,17,43,false
4.3.0,238,1,0,238,238,17,17,17,238,false
4.3.0,100,5,0,60,43,90,26,18,12,false
4.3.0,455,3,0,430,380,64,26,21.333334,143.33333,false
4.3.0,129,1,0,129,129,17,17,17,129,false
4.3.0,34,1,0,34,34,17,17,17,34,false
4.3.0,416,6,1,245,90,77,21,12.833333,40.833332,true
4.3.0,57,3,1,25,21,51,21,17,8.333333,true
4.3.0,203,3,1,1,1,51,21,17,0.333333,true
4.3.0,250,9,4,228,170,86,21,9.555555,25.333334,true
4.3.0,8,2,2,8,4,18,9,9,4,true
4.3.0,100,5,4,94,28,40,9,8,18.8,true
4.3.0,89,4,4,43,39,20,9,5,10.75,true
4.3.0,16,3,3,2,2,82,77,27.333334,0.666667,true
4.3.0,4,3,1,4,2,22,9,7.333334,1.333333,true
4.3.0,8,1,0,1,1,9,9,9,1,false
4.3.0,376,5,3,230,172,92,25,18.4,46,true
4.3.0,102,3,2,100,42,49,20,16.333334,33.333332,true
4.3.0,66,2,1,57,56,11,9,5.5,28.5,true
4.3.0,168,7,7,168,43,39,8,5.571429,24,true
4.3.0,264,6,5,252,127,58,25,9.666667,42,true
4.3.0,326,7,4,244,113,121,28,17.285715,34.857143,true
4.3.0,290,9,4,183,71,121,25,13.444445,20.333334,true
4.3.0,44,2,0,44,22,20,10,10,22,false
4.3.0,42,2,0,42,21,20,10,10,21,false
4.3.0,76,2,0,76,38,20,10,10,38,false
4.3.0,76,2,0,74,37,20,10,10,37,false
4.3.0,24,5,1,12,6,62,21,12.4,2.4,true
4.3.0,18,5,1,10,5,62,21,12.4,2,true
4.3.0,10,1,1,0,0,2,2,2,0,true
4.3.0,66,3,0,64,48,49,28,16.333334,21.333334,false
4.3.0,38,2,0,37,37,21,12,10.5,18.5,false
4.3.0,110,3,0,102,88,49,28,16.333334,34,false
4.3.0,194,3,2,191,187,84,77,28,63.666668,true
4.3.0,107,1,0,107,107,5,5,5,107,false
4.3.0,2,1,0,2,2,5,5,5,2,false
4.3.0,151,6,6,148,73,108,77,18,24.666666,true
4.3.0,228,6,4,181,70,44,13,7.333334,30.166666,true
4.3.0,10,1,1,10,10,8,8,8,10,true
4.3.0,20,2,2,20,10,8,4,4,10,true
4.3.0,873,14,5,754,138,71,25,5.071429,53.857143,true
4.3.0,4,4,2,3,1,135,83,33.75,0.75,true
4.3.0,152,6,3,121,115,240,83,40,20.166666,true
4.3.0,23,3,1,19,14,34,21,11.333333,6.333334,true
4.3.0,233,9,5,21,9,138,25,15.333333,2.333333,true
4.3.0,2,2,1,2,1,43,25,21.5,1,true
4.3.0,8,3,2,6,2,120,77,40,2,true
4.3.0,10,3,1,0,0,68,25,22.666666,0,true
4.3.0,100,4,3,4,2,83,25,20.75,1,true
4.3.0,166,6,5,149,103,163,77,27.166666,24.833334,true
4.3.0,5,3,1,2,1,53,25,17.666666,0.666667,true
4.3.0,6,2,1,2,2,160,83,80,1,true
4.3.0,6,2,1,0,0,160,83,80,0,true
4.3.0,14,1,1,7,7,77,77,77,7,true
4.3.0,11,2,1,0,0,160,83,80,0,true
4.3.0,17,2,1,7,7,160,83,80,3.5,true
4.3.0,10,2,1,0,0,160,83,80,0,true
4.3.0,12,2,1,0,0,160,83,80,0,true
4.3.0,2,1,1,2,2,77,77,77,2,true
4.3.0,5,1,1,2,2,77,77,77,2,true
4.3.0,5,1,1,2,2,77,77,77,2,true
4.3.0,8,1,1,2,2,77,77,77,2,true
4.3.0,3,1,1,0,0,77,77,77,0,true
4.3.0,2,1,1,2,2,77,77,77,2,true
4.3.0,9,2,1,0,0,160,83,80,0,true
4.3.0,9,2,1,0,0,160,83,80,0,true
4.3.0,7,2,1,0,0,160,83,80,0,true
4.3.0,3,1,1,2,2,77,77,77,2,true
4.3.0,2,1,1,2,2,77,77,77,2,true
4.3.0,5,1,1,2,2,77,77,77,2,true
4.3.0,3,1,1,0,0,77,77,77,0,true
4.3.0,3,1,1,0,0,77,77,77,0,true
4.3.0,2,1,1,0,0,77,77,77,0,true
4.3.0,40,2,2,2,2,79,77,39.5,1,true
4.3.0,3,1,1,0,0,77,77,77,0,true
4.3.0,21,4,3,4,2,127,77,31.75,1,true
4.3.0,8,1,1,2,2,77,77,77,2,true
4.3.0,4,1,1,2,2,77,77,77,2,true
4.3.0,2,1,1,2,2,77,77,77,2,true
4.3.0,2,1,1,2,2,77,77,77,2,true
4.3.0,3,1,1,2,2,77,77,77,2,true
4.3.0,2,1,1,2,2,77,77,77,2,true
4.3.0,5,1,1,0,0,77,77,77,0,true
4.3.0,41,2,1,2,2,102,77,51,1,true
4.3.0,2,1,1,2,2,77,77,77,2,true
4.3.0,4,1,1,2,2,77,77,77,2,true
4.3.0,300,5,1,160,114,147,77,29.4,32,true
4.3.0,31,2,1,2,2,79,77,39.5,1,true
4.3.0,58,4,4,14,5,86,77,21.5,3.5,true
4.3.0,74,4,2,71,50,92,77,23,17.75,true
4.3.0,4,1,1,2,2,77,77,77,2,true
4.3.0,3,1,1,2,2,77,77,77,2,true
4.3.0,163,4,1,152,143,77,28,19.25,38,true
4.3.0,133,4,0,108,98,95,28,23.75,27,false
4.3.0,177,3,0,164,160,75,28,25,54.666668,false
4.3.0,152,4,0,138,133,95,28,23.75,34.5,false
4.3.0,73,4,0,67,58,95,28,23.75,16.75,false
4.3.0,81,3,0,74,61,75,28,25,24.666666,false
4.3.0,5528,2,1,5498,4774,50,28,25,2749,true
4.3.0,222,2,1,175,99,50,28,25,87.5,true
