Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Bugginess
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorPeriodicCheckTest.java,29,1,0,9,9,10,10,10.0,9.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/UpgradeTest.java,21,3,0,1,1,108,73,36.0,0.33333334,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerCacheTest.java,18,4,0,5,3,121,73,30.25,1.25,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,38,3,0,7,6,108,73,36.0,2.3333333,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,791,2,0,1,1,24,14,12.0,0.5,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/IndexPersistenceMgr.java,700,4,0,598,547,48,14,12.0,149.5,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/IndexInMemPageMgr.java,894,2,0,687,404,24,14,12.0,343.5,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,80,3,0,24,19,97,73,32.333332,8.0,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,4,3,0,0,0,37,14,12.333333,0.0,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieNettyServer.java,39,3,1,21,20,86,73,28.666666,7.0,true
4.2.3,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java,9,1,0,8,8,25,25,25.0,8.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/TestBackwardCompat.java,24,2,0,10,10,98,73,49.0,5.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,7,2,0,3,3,98,73,49.0,1.5,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,20,2,0,4,4,98,73,49.0,2.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,16,2,0,5,5,98,73,49.0,2.5,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java,6,2,1,2,1,29,25,14.5,1.0,true
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/TestLedgerUnderreplicationManager.java,4,1,0,2,2,25,25,25.0,2.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/TestLedgerDirsManager.java,6,3,0,1,1,111,73,37.0,0.33333334,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,8,3,0,1,1,111,73,37.0,0.33333334,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CreateNewLogTest.java,7,2,0,0,0,38,25,19.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java,23,1,0,0,0,25,25,25.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieInitializationTest.java,36,4,0,28,26,62,25,15.5,7.0,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,25,1,0,25,25,25,25,25.0,25.0,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/DaemonThreadFactory.java,39,1,0,39,39,25,25,25.0,39.0,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,417,6,1,376,151,79,25,13.166667,62.666668,true
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/SyncThread.java,13,2,0,3,3,98,73,49.0,1.5,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,18,2,0,7,7,98,73,49.0,3.5,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,115,4,0,78,77,120,73,30.0,19.5,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,121,3,0,31,17,48,25,16.0,10.333333,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieThread.java,56,2,0,45,45,36,25,18.0,22.5,false
4.2.3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,235,8,1,118,68,168,73,21.0,14.75,true
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/conf/TestBKConfiguration.java,32,1,0,32,32,1,1,1.0,32.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,2,2,0,1,1,82,73,41.0,0.5,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,9,2,0,5,5,84,73,42.0,2.5,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,2,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/BookieLedgerIndexTest.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorLedgerCheckerTest.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorBookieTest.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestPerChannelBookieClient.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestDeathwatcher.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/metastore/TestMetaStore.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestSpeculativeRead.java,2,2,1,1,1,85,73,42.5,0.5,true
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestReadTimeout.java,2,2,1,1,1,85,73,42.5,0.5,true
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestLedgerFragmentReplication.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestLedgerChecker.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/SlowBookieTest.java,16,4,2,7,4,100,73,25.0,1.75,true
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/RoundRobinDistributionScheduleTest.java,2,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/ListLedgersTest.java,1,1,0,0,0,73,73,73.0,0.0,false
4.2.3,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerRecoveryTest.java,1,1,0,0,0,73,73,73.0,0.0,false
