Dataset,#TrainingRelease,%Training,%DefectiveTraining,%DefectiveTesting,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,4,79.73019,2.606411,3.761885,NaiveBayes,No Sampling,No Selection,No Cost Sensitive,18.0,15.0,2314.0,73.0,0.5454545454545454,0.1978021978021978,0.9383030022789576,0.27582853295428983
BOOKKEEPER,4,79.73019,2.606411,3.761885,IBk,No Sampling,No Selection,No Cost Sensitive,81.0,0.0,2329.0,10.0,0.0,0.8901098901098901,0.949018349619466,0.9397257271518167
BOOKKEEPER,4,79.73019,2.606411,3.761885,RandomForest,No Sampling,No Selection,No Cost Sensitive,81.0,0.0,2329.0,10.0,0.0,0.8901098901098901,0.9481218652536815,0.9397257271518167
BOOKKEEPER,4,79.73019,2.606411,3.761885,NaiveBayes,No Sampling,No Selection,Sensitive Threshold,18.0,16.0,2313.0,73.0,0.5294117647058824,0.1978021978021978,0.5954661482785141,0.27313102405572526
BOOKKEEPER,4,79.73019,2.606411,3.761885,IBk,No Sampling,No Selection,Sensitive Threshold,81.0,0.0,2329.0,10.0,0.0,0.8901098901098901,0.945054945054945,0.9397257271518167
BOOKKEEPER,4,79.73019,2.606411,3.761885,RandomForest,No Sampling,No Selection,Sensitive Threshold,81.0,0.0,2329.0,10.0,0.0,0.8901098901098901,0.945054945054945,0.9397257271518167
BOOKKEEPER,4,79.73019,2.606411,3.761885,NaiveBayes,No Sampling,No Selection,Sensitive Learning,18.0,16.0,2313.0,73.0,0.5294117647058824,0.1978021978021978,0.9383030022789576,0.27313102405572526
BOOKKEEPER,4,79.73019,2.606411,3.761885,IBk,No Sampling,No Selection,Sensitive Learning,81.0,0.0,2329.0,10.0,0.0,0.8901098901098901,0.949018349619466,0.9397257271518167
BOOKKEEPER,4,79.73019,2.606411,3.761885,RandomForest,No Sampling,No Selection,Sensitive Learning,81.0,0.0,2329.0,10.0,0.0,0.8901098901098901,0.949018349619466,0.9397257271518167
BOOKKEEPER,5,83.8721,2.8403854,2.4836602,NaiveBayes,No Sampling,No Selection,No Cost Sensitive,45.0,12.0,2227.0,12.0,0.7894736842105263,0.7894736842105263,0.8874928500348683,0.7841141487036029
BOOKKEEPER,5,83.8721,2.8403854,2.4836602,IBk,No Sampling,No Selection,No Cost Sensitive,45.0,0.0,2239.0,12.0,0.0,0.7894736842105263,0.8984038927152629,0.8797181549100254
BOOKKEEPER,5,83.8721,2.8403854,2.4836602,RandomForest,No Sampling,No Selection,No Cost Sensitive,45.0,0.0,2239.0,12.0,0.0,0.7894736842105263,0.8983098657765449,0.8797181549100254
BOOKKEEPER,5,83.8721,2.8403854,2.4836602,NaiveBayes,No Sampling,No Selection,Sensitive Threshold,45.0,12.0,2227.0,12.0,0.7894736842105263,0.7894736842105263,0.8920570743518018,0.7841141487036029
BOOKKEEPER,5,83.8721,2.8403854,2.4836602,IBk,No Sampling,No Selection,Sensitive Threshold,45.0,0.0,2239.0,12.0,0.0,0.7894736842105263,0.8947368421052632,0.8797181549100254
BOOKKEEPER,5,83.8721,2.8403854,2.4836602,RandomForest,No Sampling,No Selection,Sensitive Threshold,45.0,0.0,2239.0,12.0,0.0,0.7894736842105263,0.8947368421052632,0.8797181549100254
BOOKKEEPER,5,83.8721,2.8403854,2.4836602,NaiveBayes,No Sampling,No Selection,Sensitive Learning,45.0,12.0,2227.0,12.0,0.7894736842105263,0.7894736842105263,0.8874928500348683,0.7841141487036029
BOOKKEEPER,5,83.8721,2.8403854,2.4836602,IBk,No Sampling,No Selection,Sensitive Learning,45.0,0.0,2239.0,12.0,0.0,0.7894736842105263,0.8984038927152629,0.8797181549100254
BOOKKEEPER,5,83.8721,2.8403854,2.4836602,RandomForest,No Sampling,No Selection,Sensitive Learning,45.0,0.0,2239.0,12.0,0.0,0.7894736842105263,0.8984038927152629,0.8797181549100254
BOOKKEEPER,6,86.034706,2.7826576,0.9090909,NaiveBayes,No Sampling,No Selection,No Cost Sensitive,19.0,7.0,2283.0,2.0,0.7307692307692307,0.9047619047619048,0.9495529216053233,0.8065659149035105
BOOKKEEPER,6,86.034706,2.7826576,0.9090909,IBk,No Sampling,No Selection,No Cost Sensitive,19.0,0.0,2290.0,2.0,0.0,0.9047619047619048,0.9550634227490122,0.9495646101132641
BOOKKEEPER,6,86.034706,2.7826576,0.9090909,RandomForest,No Sampling,No Selection,No Cost Sensitive,19.0,0.0,2290.0,2.0,0.0,0.9047619047619048,0.9550218340611354,0.9495646101132641
BOOKKEEPER,6,86.034706,2.7826576,0.9090909,NaiveBayes,No Sampling,No Selection,Sensitive Threshold,19.0,8.0,2282.0,2.0,0.7037037037037037,0.9047619047619048,0.9506342274901227,0.7895149097400569
BOOKKEEPER,6,86.034706,2.7826576,0.9090909,IBk,No Sampling,No Selection,Sensitive Threshold,19.0,0.0,2290.0,2.0,0.0,0.9047619047619048,0.9523809523809523,0.9495646101132641
BOOKKEEPER,6,86.034706,2.7826576,0.9090909,RandomForest,No Sampling,No Selection,Sensitive Threshold,19.0,0.0,2290.0,2.0,0.0,0.9047619047619048,0.9523809523809523,0.9495646101132641
BOOKKEEPER,6,86.034706,2.7826576,0.9090909,NaiveBayes,No Sampling,No Selection,Sensitive Learning,19.0,8.0,2282.0,2.0,0.7037037037037037,0.9047619047619048,0.9495529216053233,0.7895149097400569
BOOKKEEPER,6,86.034706,2.7826576,0.9090909,IBk,No Sampling,No Selection,Sensitive Learning,19.0,0.0,2290.0,2.0,0.0,0.9047619047619048,0.9550634227490122,0.9495646101132641
BOOKKEEPER,6,86.034706,2.7826576,0.9090909,RandomForest,No Sampling,No Selection,Sensitive Learning,19.0,0.0,2290.0,2.0,0.0,0.9047619047619048,0.9550634227490122,0.9495646101132641
