Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Bugginess
1.2.0-M1,core/src/test/java/org/apache/syncope/core/rest/RoleTestITCase.java,205,3,3,61,61,12,4,4.0,20.333334,true
1.2.0-M1,core/src/test/java/org/apache/syncope/core/persistence/dao/RoleTest.java,9,3,3,0,0,12,4,4.0,0.0,true
1.2.0-M1,core/src/main/java/org/apache/syncope/core/rest/data/RoleDataBinder.java,24,4,4,0,0,13,4,3.25,0.0,true
1.2.0-M1,core/src/main/java/org/apache/syncope/core/persistence/beans/role/SyncopeRole.java,185,3,3,44,17,12,4,4.0,14.666667,true
1.2.0-M1,core/src/main/java/org/apache/syncope/core/notification/NotificationJob.java,28,5,3,15,10,125,61,25.0,3.0,true
1.2.0-M1,core/src/main/java/org/apache/syncope/core/notification/NotificationJob.java,11,2,2,10,10,2,1,1.0,5.0,true
1.2.0-M1,core/src/test/java/org/apache/syncope/core/notification/NotificationTest.java,2,1,1,0,0,1,1,1.0,0.0,true
1.2.0-M1,core/src/test/java/org/apache/syncope/core/notification/NotificationTest.java,2,1,1,0,0,1,1,1.0,0.0,true
1.2.0-M1,core/src/main/java/org/apache/syncope/core/persistence/beans/ConnInstance.java,10,2,0,2,1,12,6,6.0,1.0,false
1.2.0-M1,core-upgrader/src/main/java/org/apache/syncope/upgrader/ContentUpgrader.java,18,2,0,8,4,7,6,3.5,4.0,false
1.2.0-M1,core-upgrader/src/main/java/org/apache/syncope/upgrader/ContentUpgrader.java,18,2,0,8,4,7,6,3.5,4.0,false
1.2.0-M1,core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AbstractContentDealer.java,2,2,0,0,0,2,1,1.0,0.0,false
1.2.0-M1,core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AbstractContentDealer.java,1,1,0,0,0,1,1,1.0,0.0,false
1.2.0-M1,console/src/main/java/org/apache/syncope/console/resources/WorkflowDefGETResource.java,4,2,2,4,2,4,2,2.0,2.0,true
