@relation SYNCOPE10-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {1.1.8}
@attribute LOC_Touched numeric
@attribute NumberRevisions numeric
@attribute NumberBugFix numeric
@attribute LOC_Added numeric
@attribute MAX_LOC_Added numeric
@attribute Chg_Set_Size numeric
@attribute Max_Chg_Set numeric
@attribute AVG_Chg_Set numeric
@attribute Avg_LOC_Added numeric
@attribute bugginess {true,false}

@data
1.1.8,7,5,0,4,1,252,143,50.4,0.8,false
1.1.8,2,1,0,0,0,6,6,6,0,false
1.1.8,8,1,0,1,1,6,6,6,1,false
1.1.8,7,1,0,5,5,5,5,5,5,false
1.1.8,93,2,2,14,14,3,2,1.5,7,true
1.1.8,54,2,1,4,2,55,42,27.5,2,true
1.1.8,9,2,1,0,0,55,42,27.5,0,true
1.1.8,36,3,1,7,7,76,45,25.333334,2.333333,true
1.1.8,1,1,1,0,0,13,13,13,0,true
1.1.8,24,4,2,16,12,217,143,54.25,4,true
1.1.8,54,7,2,21,19,141,43,20.142857,3,true
1.1.8,123,8,3,43,17,193,58,24.125,5.375,true
1.1.8,8,2,2,0,0,9,5,4.5,0,true
1.1.8,42,3,3,17,8,28,19,9.333333,5.666666,true
1.1.8,4,1,1,2,2,19,19,19,2,true
1.1.8,9,3,2,0,0,61,26,20.333334,0,true
1.1.8,30,2,0,24,24,47,26,23.5,12,false
1.1.8,13,4,0,2,2,69,26,17.25,0.5,false
1.1.8,463,9,3,251,208,309,143,34.333332,27.88889,true
1.1.8,119,5,1,9,7,246,143,49.2,1.8,true
1.1.8,68,4,2,3,3,131,45,32.75,0.75,true
1.1.8,110,7,2,38,36,277,143,39.57143,5.428571,true
1.1.8,25,3,2,6,6,61,26,20.333334,2,true
1.1.8,173,7,2,94,58,182,45,26,13.428572,true
1.1.8,52,3,0,42,42,107,45,35.666668,14,false
1.1.8,120,5,2,84,70,117,35,23.4,16.8,true
1.1.8,150,5,2,72,70,124,35,24.8,14.4,true
1.1.8,66,5,2,45,45,86,26,17.2,9,true
1.1.8,132,5,2,50,48,93,26,18.6,10,true
1.1.8,9,2,0,2,1,69,43,34.5,1,false
1.1.8,63,6,0,36,22,160,45,26.666666,6,false
1.1.8,20,2,0,20,11,58,32,29,10,false
1.1.8,6,2,0,6,3,58,32,29,3,false
1.1.8,67,5,0,40,20,122,43,24.4,8,false
1.1.8,43,3,0,41,40,73,36,24.333334,13.666667,false
1.1.8,49,5,0,16,11,152,45,30.4,3.2,false
1.1.8,72,4,0,8,4,250,143,62.5,2,false
1.1.8,3,1,0,0,0,26,26,26,0,false
1.1.8,19,1,0,19,19,26,26,26,19,false
1.1.8,399,7,4,360,166,99,58,14.142858,51.42857,true
1.1.8,69,4,1,57,53,225,143,56.25,14.25,true
1.1.8,92,11,5,64,57,373,143,33.909092,5.818182,true
1.1.8,81,8,5,38,16,229,143,28.625,4.75,true
1.1.8,110,5,1,71,70,242,143,48.4,14.2,true
1.1.8,22,1,1,0,0,11,11,11,0,true
1.1.8,4,1,1,0,0,11,11,11,0,true
1.1.8,47,2,0,0,0,59,58,29.5,0,false
1.1.8,3,2,2,0,0,45,24,22.5,0,true
1.1.8,45,1,0,45,45,21,21,21,45,false
1.1.8,64,4,0,42,28,98,45,24.5,10.5,false
1.1.8,47,1,0,47,47,21,21,21,47,false
1.1.8,1,1,0,0,0,21,21,21,0,false
1.1.8,54,1,0,54,54,21,21,21,54,false
1.1.8,50,4,0,32,22,122,45,30.5,8,false
1.1.8,174,6,2,141,99,76,35,12.666667,23.5,true
1.1.8,16,3,0,14,7,6,3,2,4.666666,false
1.1.8,13,1,0,0,0,35,35,35,0,false
1.1.8,27,2,0,22,12,77,42,38.5,11,false
1.1.8,3,2,0,0,0,77,42,38.5,0,false
1.1.8,60,2,0,57,31,77,42,38.5,28.5,false
1.1.8,1,1,0,0,0,35,35,35,0,false
1.1.8,229,2,0,196,194,40,35,20,98,false
1.1.8,44,6,0,26,17,250,143,41.666668,4.333334,false
1.1.8,3,1,0,0,0,35,35,35,0,false
1.1.8,1,1,0,1,1,35,35,35,1,false
1.1.8,8,2,0,0,0,51,35,25.5,0,false
1.1.8,4,2,0,0,0,77,42,38.5,0,false
1.1.8,4,1,0,0,0,35,35,35,0,false
1.1.8,13,1,0,0,0,35,35,35,0,false
1.1.8,12,3,0,2,1,94,58,31.333334,0.666667,false
1.1.8,13,1,0,0,0,35,35,35,0,false
1.1.8,12,1,0,0,0,35,35,35,0,false
1.1.8,37,2,0,36,25,77,42,38.5,18,false
1.1.8,63,3,0,50,38,113,42,37.666668,16.666666,false
1.1.8,10,1,0,0,0,35,35,35,0,false
1.1.8,1,1,0,0,0,35,35,35,0,false
1.1.8,1,1,0,1,1,35,35,35,1,false
1.1.8,2,2,0,0,0,77,42,38.5,0,false
1.1.8,112,2,0,72,51,77,42,38.5,36,false
1.1.8,214,7,2,165,112,117,45,16.714285,23.571428,true
1.1.8,9,2,0,6,6,63,45,31.5,3,false
1.1.8,5,3,0,0,0,117,45,39,0,false
1.1.8,2,1,0,0,0,45,45,45,0,false
1.1.8,27,4,0,0,0,171,58,42.75,0,false
1.1.8,22,3,0,0,0,97,45,32.333332,0,false
1.1.8,86,2,0,84,84,61,45,30.5,42,false
1.1.8,41,1,0,41,41,45,45,45,41,false
1.1.8,15,3,0,0,0,135,58,45,0,false
1.1.8,57,1,0,0,0,45,45,45,0,false
1.1.8,183,4,0,35,15,99,45,24.75,8.75,false
1.1.8,11,2,0,5,3,87,45,43.5,2.5,false
1.1.8,1,1,0,0,0,4,4,4,0,false
1.1.8,14,3,0,1,1,82,58,27.333334,0.333333,false
1.1.8,86,4,1,15,8,241,143,60.25,3.75,true
1.1.8,78,1,0,78,78,1,1,1,78,false
1.1.8,81,5,0,50,41,104,58,20.8,10,false
1.1.8,2,1,0,0,0,42,42,42,0,false
1.1.8,7,2,0,3,3,58,42,29,1.5,false
1.1.8,2,1,0,0,0,42,42,42,0,false
1.1.8,2,1,0,0,0,42,42,42,0,false
1.1.8,3,1,0,2,2,42,42,42,2,false
1.1.8,228,2,0,214,150,65,42,32.5,107,false
1.1.8,4,2,0,0,0,65,42,32.5,0,false
1.1.8,5,1,0,0,0,42,42,42,0,false
1.1.8,2,1,0,0,0,42,42,42,0,false
1.1.8,2,1,0,0,0,42,42,42,0,false
1.1.8,2,2,0,1,1,60,42,30,0.5,false
1.1.8,22,2,0,0,0,100,58,50,0,false
1.1.8,3,1,0,0,0,42,42,42,0,false
1.1.8,1,1,0,0,0,3,3,3,0,false
1.1.8,10,2,2,8,4,11,6,5.5,4,true
1.1.8,4,1,1,0,0,6,6,6,0,true
1.1.8,14,1,1,0,0,6,6,6,0,true
1.1.8,4,1,1,4,4,6,6,6,4,true
1.1.8,19,1,1,19,19,6,6,6,19,true
1.1.8,11,1,0,0,0,58,58,58,0,false
1.1.8,7,1,0,1,1,58,58,58,1,false
1.1.8,62,2,0,4,4,101,58,50.5,2,false
1.1.8,20,2,0,5,4,101,58,50.5,2.5,false
1.1.8,26,3,0,3,2,137,58,45.666668,1,false
1.1.8,17,2,0,2,2,201,143,100.5,1,false
1.1.8,14,2,0,1,1,201,143,100.5,0.5,false
1.1.8,3,1,0,1,1,58,58,58,1,false
1.1.8,33,1,0,0,0,58,58,58,0,false
1.1.8,60,1,0,60,60,58,58,58,60,false
1.1.8,34,1,0,0,0,58,58,58,0,false
1.1.8,6,1,0,1,1,58,58,58,1,false
1.1.8,54,2,0,2,1,81,58,40.5,1,false
1.1.8,34,2,0,1,1,81,58,40.5,0.5,false
1.1.8,4,2,0,1,1,90,58,45,0.5,false
1.1.8,15,1,0,1,1,58,58,58,1,false
1.1.8,14,1,0,2,2,58,58,58,2,false
1.1.8,34,1,0,34,34,58,58,58,34,false
1.1.8,1,1,0,1,1,58,58,58,1,false
1.1.8,1,1,0,0,0,58,58,58,0,false
1.1.8,2,1,0,0,0,58,58,58,0,false
1.1.8,14,1,0,1,1,58,58,58,1,false
1.1.8,20,1,0,0,0,58,58,58,0,false
1.1.8,1,1,0,0,0,58,58,58,0,false
1.1.8,68,1,0,68,68,58,58,58,68,false
1.1.8,16,2,0,2,1,101,58,50.5,1,false
1.1.8,21,2,0,2,1,101,58,50.5,1,false
1.1.8,3,1,0,0,0,58,58,58,0,false
1.1.8,1,1,0,0,0,58,58,58,0,false
1.1.8,1,1,0,0,0,58,58,58,0,false
1.1.8,22,1,0,0,0,58,58,58,0,false
1.1.8,56,1,0,56,56,58,58,58,56,false
1.1.8,42,1,0,0,0,58,58,58,0,false
1.1.8,15,2,0,3,3,81,58,40.5,1.5,false
1.1.8,27,2,0,15,15,55,37,27.5,7.5,false
1.1.8,230,2,0,228,228,180,143,90,114,false
1.1.8,188,2,0,186,186,180,143,90,93,false
1.1.8,159,1,0,159,159,37,37,37,159,false
1.1.8,9,1,0,9,9,37,37,37,9,false
1.1.8,147,3,0,139,121,54,37,18,46.333332,false
1.1.8,219,4,0,205,201,73,37,18.25,51.25,false
1.1.8,139,2,0,127,127,144,143,72,63.5,false
1.1.8,3,1,0,0,0,143,143,143,0,false
1.1.8,48,1,0,6,6,143,143,143,6,false
1.1.8,8,1,0,0,0,143,143,143,0,false
1.1.8,59,1,0,54,54,143,143,143,54,false
1.1.8,55,1,0,2,2,143,143,143,2,false
1.1.8,2,1,0,0,0,143,143,143,0,false
1.1.8,11,2,0,8,8,166,143,83,4,false
1.1.8,21,1,0,0,0,143,143,143,0,false
1.1.8,33,1,0,20,20,143,143,143,20,false
1.1.8,68,1,0,0,0,143,143,143,0,false
1.1.8,45,1,0,45,45,143,143,143,45,false
1.1.8,10,2,0,8,8,159,143,79.5,4,false
1.1.8,34,1,0,34,34,143,143,143,34,false
1.1.8,9,1,0,0,0,143,143,143,0,false
1.1.8,9,1,0,1,1,143,143,143,1,false
1.1.8,719,1,0,719,719,143,143,143,719,false
1.1.8,9,1,0,1,1,143,143,143,1,false
1.1.8,1,1,0,0,0,143,143,143,0,false
1.1.8,1,1,0,0,0,143,143,143,0,false
1.1.8,34,1,0,7,7,143,143,143,7,false
1.1.8,336,2,0,335,335,152,143,76,167.5,false
1.1.8,1,1,0,0,0,143,143,143,0,false
1.1.8,81,1,0,81,81,143,143,143,81,false
1.1.8,40,1,0,40,40,143,143,143,40,false
1.1.8,1,1,0,0,0,143,143,143,0,false
1.1.8,9,1,0,0,0,143,143,143,0,false
1.1.8,133,1,0,133,133,143,143,143,133,false
1.1.8,31,1,0,31,31,143,143,143,31,false
1.1.8,62,1,0,62,62,143,143,143,62,false
1.1.8,77,1,0,77,77,143,143,143,77,false
1.1.8,153,1,0,153,153,143,143,143,153,false
1.1.8,8,3,0,0,0,188,143,62.666668,0,false
1.1.8,5,2,0,0,0,179,143,89.5,0,false
1.1.8,31,1,0,0,0,143,143,143,0,false
1.1.8,4,1,0,2,2,143,143,143,2,false
1.1.8,29,1,0,0,0,143,143,143,0,false
1.1.8,1,1,0,0,0,143,143,143,0,false
1.1.8,30,1,0,30,30,143,143,143,30,false
1.1.8,47,2,0,10,9,186,143,93,5,false
1.1.8,3,2,0,0,0,48,32,24,0,false
1.1.8,2,1,0,0,0,16,16,16,0,false
1.1.8,2,1,0,0,0,16,16,16,0,false
1.1.8,2,1,0,0,0,16,16,16,0,false
