@relation SYNCOPE18-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {1.2.4}
@attribute LOC_Touched numeric
@attribute NumberRevisions numeric
@attribute NumberBugFix numeric
@attribute LOC_Added numeric
@attribute MAX_LOC_Added numeric
@attribute Chg_Set_Size numeric
@attribute Max_Chg_Set numeric
@attribute AVG_Chg_Set numeric
@attribute Avg_LOC_Added numeric
@attribute bugginess {true,false}

@data
1.2.4,2,2,0,0,0,134,92,67,0,false
1.2.4,2,2,0,0,0,134,92,67,0,false
1.2.4,168,2,0,168,84,134,92,67,84,false
1.2.4,118,2,0,118,59,134,92,67,59,false
1.2.4,170,11,1,11,5,1293,337,117.545456,1,true
1.2.4,29,6,0,24,12,575,337,95.833336,4,false
1.2.4,150,11,1,8,5,1270,337,115.454544,0.727273,true
1.2.4,195,6,0,188,49,333,92,55.5,31.333334,false
1.2.4,242,6,0,233,113,270,92,45,38.833332,false
1.2.4,141,5,0,131,118,366,164,73.2,26.2,false
1.2.4,696,6,0,578,277,340,92,56.666668,96.333336,false
1.2.4,88,6,0,43,17,366,153,61,7.166666,false
1.2.4,304,10,0,157,74,939,427,93.9,15.7,false
1.2.4,635,11,0,513,234,572,153,52,46.636364,false
1.2.4,86,2,0,86,43,134,92,67,43,false
1.2.4,764,9,0,550,264,410,92,45.555557,61.11111,false
1.2.4,45,5,0,11,4,336,92,67.2,2.2,false
1.2.4,179,7,0,82,49,405,92,57.857143,11.714286,false
1.2.4,130,3,0,125,62,182,92,60.666668,41.666668,false
1.2.4,1384,10,0,1296,642,698,381,69.8,129.6,false
1.2.4,562,16,0,163,80,1225,427,76.5625,10.1875,false
1.2.4,142,1,0,142,142,42,42,42,142,false
1.2.4,74,13,0,13,9,1517,427,116.69231,1,false
1.2.4,127,3,0,123,61,182,92,60.666668,41,false
1.2.4,41,1,0,41,41,42,42,42,41,false
1.2.4,489,4,0,477,236,231,92,57.75,119.25,false
1.2.4,130,3,0,125,61,182,92,60.666668,41.666668,false
1.2.4,24,2,0,24,12,134,92,67,12,false
1.2.4,16,2,0,6,3,134,92,67,3,false
1.2.4,96,5,0,50,49,247,146,49.4,10,false
1.2.4,4,2,0,0,0,10,5,5,0,false
1.2.4,246,2,0,246,123,86,43,43,123,false
1.2.4,280,6,0,262,111,285,91,47.5,43.666668,false
1.2.4,132,2,0,132,66,86,43,43,66,false
1.2.4,438,6,0,386,125,285,91,47.5,64.333336,false
1.2.4,19,3,0,16,8,128,43,42.666668,5.333334,false
1.2.4,711,6,0,635,172,166,91,27.666666,105.833336,false
1.2.4,35,5,0,26,13,543,381,108.6,5.2,false
1.2.4,85,4,0,79,54,274,146,68.5,19.75,false
1.2.4,147,10,0,72,22,369,146,36.9,7.2,false
1.2.4,6,2,0,2,1,86,43,43,1,false
1.2.4,791,15,0,165,101,781,381,52.066666,11,false
1.2.4,310,14,0,86,68,681,153,48.642857,6.142857,false
1.2.4,313,11,0,19,6,899,427,81.72727,1.727273,false
1.2.4,12,2,0,8,4,86,43,43,4,false
1.2.4,865,7,0,682,322,431,146,61.57143,97.42857,false
1.2.4,706,10,0,144,60,622,153,62.2,14.4,false
1.2.4,678,2,0,678,339,86,43,43,339,false
1.2.4,72,2,0,72,36,86,43,43,36,false
1.2.4,24,5,0,5,1,289,92,57.8,1,false
1.2.4,208,5,0,202,78,655,381,131,40.4,false
1.2.4,34,5,0,5,3,726,337,145.2,1,false
1.2.4,170,2,0,117,117,44,43,22,58.5,false
1.2.4,226,9,2,20,10,1451,381,161.22223,2.222222,true
1.2.4,132,2,0,132,66,389,337,194.5,66,false
1.2.4,108,4,0,98,48,938,427,234.5,24.5,false
1.2.4,78,2,0,78,39,389,337,194.5,39,false
1.2.4,15,1,0,5,5,52,52,52,5,false
1.2.4,266,14,2,122,40,1653,381,118.07143,8.714286,true
1.2.4,140,2,0,140,70,389,337,194.5,70,false
1.2.4,62,2,0,62,31,389,337,194.5,31,false
1.2.4,30,7,0,4,2,1138,337,162.57143,0.571429,false
1.2.4,84,2,0,84,42,389,337,194.5,42,false
1.2.4,82,2,0,82,41,389,337,194.5,41,false
1.2.4,41,1,0,41,41,52,52,52,41,false
1.2.4,38,1,0,38,38,52,52,52,38,false
1.2.4,36,1,0,36,36,52,52,52,36,false
1.2.4,56,8,0,16,4,1442,381,180.25,2,false
1.2.4,158,2,0,158,79,389,337,194.5,79,false
1.2.4,6,4,0,0,0,912,381,228,0,false
1.2.4,572,10,0,407,169,1200,337,120,40.7,false
1.2.4,122,4,0,118,59,672,337,168,29.5,false
1.2.4,32,7,0,0,0,1652,427,236,0,false
1.2.4,154,6,0,14,12,859,337,143.16667,2.333333,false
1.2.4,64,2,0,64,32,389,337,194.5,32,false
1.2.4,66,2,0,66,33,389,337,194.5,33,false
1.2.4,4,2,0,2,2,307,255,153.5,1,false
1.2.4,446,7,1,18,10,1080,381,154.28572,2.571429,true
1.2.4,64,2,0,64,32,389,337,194.5,32,false
1.2.4,172,2,0,172,86,389,337,194.5,86,false
1.2.4,131,6,0,111,53,843,337,140.5,18.5,false
1.2.4,434,13,0,87,47,2064,427,158.76923,6.692308,false
1.2.4,290,4,0,287,143,418,337,104.5,71.75,false
1.2.4,6,4,0,0,0,895,427,223.75,0,false
1.2.4,40,4,0,0,0,895,427,223.75,0,false
1.2.4,6,2,0,0,0,389,337,194.5,0,false
1.2.4,208,6,0,192,96,878,381,146.33333,32,false
1.2.4,14,4,0,14,5,938,427,234.5,3.5,false
1.2.4,68,14,0,36,10,1548,427,110.57143,2.571429,false
1.2.4,124,2,0,124,62,389,337,194.5,62,false
1.2.4,46,2,0,46,23,389,337,194.5,23,false
1.2.4,4,2,0,4,2,389,337,194.5,2,false
1.2.4,107,9,1,82,24,1173,381,130.33333,9.111111,true
1.2.4,44,2,0,40,20,360,337,180,20,false
1.2.4,135,5,0,42,14,896,381,179.2,8.4,false
1.2.4,36,2,0,24,12,360,337,180,12,false
1.2.4,18,2,0,0,0,360,337,180,0,false
1.2.4,74,5,0,68,36,795,337,159,13.6,false
1.2.4,77,9,0,60,27,1288,381,143.11111,6.666666,false
1.2.4,305,6,0,191,147,898,381,149.66667,31.833334,false
1.2.4,10,4,0,4,1,754,381,188.5,1,false
1.2.4,10,4,0,4,1,754,381,188.5,1,false
1.2.4,92,7,0,44,22,1452,381,207.42857,6.285714,false
1.2.4,9,3,0,0,0,615,337,205,0,false
1.2.4,59,5,0,5,5,957,427,191.4,1,false
1.2.4,18,6,0,0,0,849,381,141.5,0,false
1.2.4,28,5,0,26,11,532,337,106.4,5.2,false
1.2.4,1599,22,2,520,153,2844,427,129.27272,23.636364,true
1.2.4,357,20,1,40,11,2642,427,132.1,2,true
1.2.4,8,4,0,0,0,784,337,196,0,false
1.2.4,212,11,1,158,79,1638,427,148.90909,14.363636,true
1.2.4,36,8,0,4,2,1393,427,174.125,0.5,false
1.2.4,94,7,0,0,0,1340,381,191.42857,0,false
1.2.4,53,8,0,32,16,1486,427,185.75,4,false
1.2.4,559,14,2,302,115,2129,427,152.07143,21.571428,true
1.2.4,4,2,0,0,0,592,337,296,0,false
1.2.4,191,11,0,11,4,1677,427,152.45454,1,false
1.2.4,10,6,0,0,0,1563,427,260.5,0,false
1.2.4,320,12,1,220,90,2003,427,166.91667,18.333334,true
1.2.4,2,2,0,0,0,592,337,296,0,false
1.2.4,128,2,0,128,64,592,337,296,64,false
1.2.4,91,9,1,4,2,1880,427,208.88889,0.444444,true
1.2.4,30,7,0,2,1,1828,427,261.14285,0.285714,false
1.2.4,72,10,2,9,3,1954,427,195.4,0.9,true
1.2.4,6,5,0,0,0,1305,427,261,0,false
1.2.4,236,7,1,200,98,1521,427,217.28572,28.571428,true
1.2.4,37,5,0,5,3,1175,427,235,1,false
1.2.4,36,5,0,9,7,1175,427,235,1.8,false
1.2.4,21,5,0,3,1,1175,427,235,0.6,false
1.2.4,58,7,1,0,0,1704,427,243.42857,0,true
1.2.4,91,9,1,13,11,1880,427,208.88889,1.444444,true
1.2.4,188,6,0,157,77,1339,427,223.16667,26.166666,false
