Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Bugginess
1.0.2-incubating,core/src/test/java/org/apache/syncope/core/rest/UserTestITCase.java,140,5,1,92,32,39,18,7.8,18.4,true
1.0.2-incubating,core/src/test/java/org/apache/syncope/core/rest/ConnInstanceTestITCase.java,4,2,0,2,1,13,9,6.5,1.0,false
1.0.2-incubating,core/src/test/java/org/apache/syncope/core/notification/NotificationTest.java,238,2,1,194,97,11,6,5.5,97.0,true
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/scheduling/NotificationJob.java,108,4,2,16,8,39,14,9.75,4.0,true
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/rest/data/TaskDataBinder.java,22,3,1,14,6,30,19,10.0,4.6666665,true
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/notification/NotificationManager.java,8,2,1,0,0,11,6,5.5,0.0,true
1.0.2-incubating,client/src/main/java/org/apache/syncope/client/to/NotificationTaskTO.java,20,2,1,20,10,11,6,5.5,10.0,true
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/propagation/PropagationManager.java,177,5,1,44,21,72,30,14.4,8.8,true
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/propagation/PropagationByResource.java,30,4,1,0,0,68,30,17.0,0.0,true
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/persistence/validation/entity/PropagationTaskValidator.java,6,2,1,0,0,8,4,4.0,0.0,true
1.0.2-incubating,core/src/test/java/org/apache/syncope/core/security/PasswordEncoderTest.java,56,1,0,56,56,18,18,18.0,56.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/workflow/NoOpUserWorkflowAdapter.java,16,4,0,0,0,82,30,20.5,0.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/security/SyncopeAuthenticationProvider.java,44,2,0,24,24,24,18,12.0,12.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/security/PasswordEncoder.java,133,1,0,133,133,18,18,18.0,133.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/security/EncodePasswordCLI.java,54,1,0,54,54,18,18,18.0,54.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/rest/data/UserDataBinder.java,16,2,0,1,1,24,18,12.0,0.5,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/persistence/beans/user/SyncopeUser.java,55,2,0,1,1,24,18,12.0,0.5,false
1.0.2-incubating,client/src/main/java/org/apache/syncope/types/CipherAlgorithm.java,2,1,0,0,0,18,18,18.0,0.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeUserQueryImpl.java,4,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeUserManager.java,2,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeGroupQueryImpl.java,2,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeGroupManager.java,2,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/util/ConnObjectUtil.java,11,2,1,2,2,31,30,15.5,1.0,true
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/persistence/dao/impl/UserSearchDAOImpl.java,2,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/persistence/dao/impl/UserDAOImpl.java,4,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/persistence/beans/role/RVirAttr.java,2,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/persistence/beans/membership/Membership.java,6,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MVirAttr.java,2,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/persistence/beans/ExternalResource.java,2,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractBaseBean.java,4,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxTextFieldPanel.java,2,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxDropDownChoicePanel.java,2,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,console/src/main/java/org/apache/syncope/console/rest/TaskRestClient.java,2,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/UserManagementResultPanel.java,4,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceMappingPanel.java,12,4,0,0,0,113,30,28.25,0.0,false
1.0.2-incubating,console/src/main/java/org/apache/syncope/console/pages/Schema.java,2,2,0,0,0,60,30,30.0,0.0,false
1.0.2-incubating,console/src/main/java/org/apache/syncope/console/pages/ReportletConfModalPage.java,10,4,0,0,0,113,30,28.25,0.0,false
