Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Bugginess
1.2.3,client/console/src/main/java/org/apache/syncope/client/console/rest/UserWorkflowRestClient.java,42,1,0,42,42,8,8,8.0,42.0,false
1.2.3,client/console/src/main/java/org/apache/syncope/client/console/pages/BasePage.java,35,4,0,33,15,315,150,78.75,8.25,false
1.2.3,client/console/src/main/java/org/apache/syncope/client/console/SyncopeConsoleSession.java,6,3,0,4,4,300,150,100.0,1.3333334,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/validators/ArchetypeValidator.java,2,1,0,0,0,166,166,166.0,0.0,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/utilities/PasswordGenerator.java,4,1,0,3,3,166,166,166.0,3.0,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/utilities/MavenUtils.java,2,1,0,0,0,166,166,166.0,0.0,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/utilities/JsonUtils.java,12,1,0,8,8,166,166,166.0,8.0,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/utilities/InstallLog.java,6,1,0,0,0,166,166,166.0,0.0,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/utilities/HttpUtils.java,8,1,0,2,2,166,166,166.0,2.0,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/utilities/DriverLoader.java,13,1,0,2,2,166,166,166.0,2.0,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/processes/PersistenceProcess.java,7,1,0,6,6,166,166,166.0,6.0,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/processes/ContainerProcess.java,19,1,0,9,9,166,166,166.0,9.0,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/processes/BaseProcess.java,15,1,0,1,1,166,166,166.0,1.0,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/processes/ArchetypeProcess.java,9,1,0,0,0,166,166,166.0,0.0,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/files/PersistenceProperties.java,9,1,0,3,3,166,166,166.0,3.0,false
1.2.3,installer/src/main/java/org/apache/syncope/installer/files/PersistenceContextEMFactoryXml.java,4,1,0,3,3,166,166,166.0,3.0,false
