@relation SYNCOPE4-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {1.0.4}
@attribute LOC_Touched numeric
@attribute NumberRevisions numeric
@attribute NumberBugFix numeric
@attribute LOC_Added numeric
@attribute MAX_LOC_Added numeric
@attribute Chg_Set_Size numeric
@attribute Max_Chg_Set numeric
@attribute AVG_Chg_Set numeric
@attribute Avg_LOC_Added numeric
@attribute Bugginess {true,false}

@data
1.0.4,32,4,2,1,1,10,4,2.5,0.25,true
1.0.4,1,1,0,0,0,1,1,1,0,false
1.0.4,50,2,1,50,25,6,4,3,25,true
1.0.4,18,2,1,18,9,6,4,3,9,true
1.0.4,334,17,2,117,31,400,138,23.529411,6.882353,true
1.0.4,128,3,0,63,63,135,70,45,21,false
1.0.4,44,1,0,22,22,26,26,26,22,false
1.0.4,243,4,0,228,135,272,138,68,57,false
1.0.4,59,10,1,22,7,338,138,33.8,2.2,true
1.0.4,1,1,0,0,0,26,26,26,0,false
1.0.4,421,7,0,151,114,315,138,45,21.571428,false
1.0.4,413,7,0,52,29,143,70,20.428572,7.428571,false
1.0.4,5,1,0,0,0,26,26,26,0,false
1.0.4,5,1,0,0,0,26,26,26,0,false
1.0.4,16,3,0,3,3,109,70,36.333332,1,false
1.0.4,9,2,0,3,3,96,70,48,1.5,false
1.0.4,10,2,0,1,1,96,70,48,0.5,false
1.0.4,4,1,0,2,2,26,26,26,2,false
1.0.4,6,2,0,2,2,39,26,19.5,1,false
1.0.4,4,1,0,2,2,26,26,26,2,false
1.0.4,4,1,0,1,1,26,26,26,1,false
1.0.4,126,5,0,31,18,274,138,54.8,6.2,false
1.0.4,15,2,0,0,0,30,26,15,0,false
1.0.4,14,3,0,6,3,36,26,12,2,false
1.0.4,45,5,0,17,10,227,138,45.4,3.4,false
1.0.4,70,5,0,18,10,274,138,54.8,3.6,false
1.0.4,43,2,0,4,2,25,20,12.5,2,false
1.0.4,29,5,2,5,5,75,50,15,1,true
1.0.4,1,1,0,0,0,5,5,5,0,false
1.0.4,176,12,2,161,73,243,50,20.25,13.416667,true
1.0.4,4,2,1,2,1,34,17,17,1,true
1.0.4,24,2,1,12,6,34,17,17,6,true
1.0.4,22,2,1,22,11,34,17,17,11,true
1.0.4,17,2,1,1,1,34,17,17,0.5,true
1.0.4,74,4,2,30,13,42,17,10.5,7.5,true
1.0.4,18,2,1,14,8,34,17,17,7,true
1.0.4,48,2,1,48,24,34,17,17,24,true
1.0.4,155,5,1,136,63,132,49,26.4,27.2,true
1.0.4,35,6,1,4,4,146,70,24.333334,0.666667,true
1.0.4,29,4,1,0,0,83,38,20.75,0,true
1.0.4,10,2,1,3,2,34,17,17,1.5,true
