Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Bugginess
1.2.4,client/old_console/src/main/java/org/apache/syncope/client/console/pages/EditUserModalPage.java,2,2,0,0,0,134,92,67.0,0.0,false
1.2.4,client/old_console/src/main/java/org/apache/syncope/client/console/pages/DisplayAttributesModalPage.java,2,2,0,0,0,134,92,67.0,0.0,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/wicket/extensions/markup/html/repeater/data/table/AttrColumn.java,168,2,0,168,84,134,92,67.0,84.0,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/wicket/extensions/markup/html/repeater/data/table/ActionColumn.java,118,2,0,118,59,134,92,67.0,59.0,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/rest/UserRestClient.java,170,11,1,11,5,1293,337,117.545456,1.0,true
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/rest/RealmRestClient.java,29,6,0,24,12,575,337,95.833336,4.0,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/rest/GroupRestClient.java,150,11,1,8,5,1270,337,115.454544,0.72727275,true
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/rest/AnyTypeRestClient.java,195,6,0,188,49,333,92,55.5,31.333334,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/rest/AnyObjectRestClient.java,242,6,0,233,113,270,92,45.0,38.833332,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/rest/AbstractAnyRestClient.java,141,5,0,131,118,366,164,73.2,26.2,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/panels/UserSearchResultPanel.java,696,6,0,578,277,340,92,56.666668,96.333336,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/panels/RealmDetails.java,88,6,0,43,17,366,153,61.0,7.1666665,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/panels/Realm.java,304,10,0,157,74,939,427,93.9,15.7,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/panels/GroupSearchResultPanel.java,635,11,0,513,234,572,153,52.0,46.636364,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/panels/AnyTypeMenuItem.java,86,2,0,86,43,134,92,67.0,43.0,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/panels/AnySearchResultPanel.java,764,9,0,550,264,410,92,45.555557,61.11111,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/panels/AjaxDataTablePanel.java,45,5,0,11,4,336,92,67.2,2.2,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/panels/AbstractSearchResultPanel.java,179,7,0,82,49,405,92,57.857143,11.714286,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/pages/UserDisplayAttributesModalPage.java,130,3,0,125,62,182,92,60.666668,41.666668,false
1.2.4,client/console/src/main/java/org/apache/syncope/client/console/pages/StatusModalPage.java,1384,10,0,1296,642,698,381,69.8,129.6,false
