Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Bugginess
1.2.1,core/src/test/java/org/apache/syncope/core/rest/UserSelfTestITCase.java,92,2,0,90,45,24,12,12.0,45.0,false
1.2.1,core/src/main/java/org/apache/syncope/core/services/UserSelfServiceImpl.java,10,2,0,0,0,24,12,12.0,0.0,false
1.2.1,core/src/main/java/org/apache/syncope/core/rest/controller/UserController.java,16,2,0,10,5,24,12,12.0,5.0,false
1.2.1,core/src/main/java/org/apache/syncope/core/connid/ConnObjectUtil.java,36,2,0,2,1,24,12,12.0,1.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/rest/UserSelfRestClient.java,30,2,0,26,13,24,12,12.0,13.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/RequestPasswordResetModalPage.java,36,2,1,19,13,13,12,6.5,9.5,true
1.2.1,console/src/main/java/org/apache/syncope/console/SyncopeSession.java,8,2,0,0,0,24,12,12.0,0.0,false
1.2.1,common/src/main/java/org/apache/syncope/common/types/RESTHeaders.java,6,2,0,0,0,24,12,12.0,0.0,false
1.2.1,client/src/main/java/org/apache/syncope/client/SyncopeClient.java,8,2,0,0,0,24,12,12.0,0.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/RequestPasswordResetModalPage.java,40,4,0,21,13,75,31,18.75,5.25,false
1.2.1,core/src/main/java/org/apache/syncope/core/report/UserReportlet.java,6,2,2,2,1,4,2,2.0,1.0,true
1.2.1,core/src/main/java/org/apache/syncope/core/report/RoleReportlet.java,6,2,2,2,1,4,2,2.0,1.0,true
1.2.1,common/src/main/java/org/apache/syncope/common/services/UserSelfService.java,4,2,0,0,0,8,4,4.0,0.0,false
1.2.1,core/src/test/java/org/apache/syncope/core/notification/NotificationTest.java,18,2,2,10,5,4,2,2.0,5.0,true
1.2.1,core/src/main/java/org/apache/syncope/core/persistence/dao/impl/ConfDAOImpl.java,34,2,2,30,15,4,2,2.0,15.0,true
1.2.1,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceConnConfPanel.java,2,2,2,0,0,3,2,1.5,0.0,true
1.2.1,console/src/main/java/org/apache/syncope/console/pages/ReportletConfModalPage.java,2,2,2,0,0,4,2,2.0,0.0,true
1.2.1,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceConnConfPanel.java,548,5,2,27,9,136,119,27.2,5.4,true
1.2.1,console/src/main/java/org/apache/syncope/console/pages/SchemaModalPage.java,8,1,1,4,4,2,2,2.0,4.0,true
1.2.1,console/src/main/java/org/apache/syncope/console/pages/SchemaModalPage.java,16,5,1,4,4,216,119,43.2,0.8,true
1.2.1,core/src/main/java/org/apache/syncope/core/report/ReportJob.java,3,1,0,0,0,1,1,1.0,0.0,false
1.2.1,core/src/main/java/org/apache/syncope/core/report/ReportJob.java,3,1,0,0,0,1,1,1.0,0.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/ConnectorModalPage.java,390,12,3,36,13,244,119,20.333334,3.0,true
1.2.1,console/src/main/java/org/apache/syncope/console/pages/ConnectorModalPage.java,15,2,2,5,5,2,1,1.0,2.5,true
1.2.1,console/src/main/java/org/apache/syncope/console/rest/ConfigurationRestClient.java,80,10,1,75,23,266,119,26.6,7.5,true
1.2.1,console/src/main/java/org/apache/syncope/console/pages/panels/RoleTabPanel.java,36,8,1,4,2,308,119,38.5,0.5,true
1.2.1,console/src/main/java/org/apache/syncope/console/pages/panels/RolePanel.java,20,6,0,2,1,276,119,46.0,0.33333334,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceSecurityPanel.java,6,2,0,0,0,62,31,31.0,0.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/panels/MembershipsPanel.java,10,2,0,2,1,62,31,31.0,1.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/panels/LayoutsPanel.java,557,7,0,357,175,232,119,33.142857,51.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/panels/EventSelectionPanel.java,22,2,0,0,0,62,31,31.0,0.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/panels/AttributesPanel.java,377,10,1,114,43,258,119,25.8,11.4,true
1.2.1,console/src/main/java/org/apache/syncope/console/pages/panels/AttrTemplatesPanel.java,45,5,0,0,0,228,119,45.6,0.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/UserTemplateModalPage.java,4,2,0,2,1,62,31,31.0,1.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/UserSelfModalPage.java,2,2,0,2,1,62,31,31.0,1.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/UserModalPage.java,38,8,1,8,2,293,119,36.625,1.0,true
1.2.1,console/src/main/java/org/apache/syncope/console/pages/Roles.java,2,2,0,0,0,62,31,31.0,0.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/RoleTemplateModalPage.java,6,2,0,2,1,62,31,31.0,1.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/RoleModalPage.java,70,8,1,15,7,308,119,38.5,1.875,true
1.2.1,console/src/main/java/org/apache/syncope/console/pages/ResultStatusModalPage.java,14,2,0,2,1,62,31,31.0,1.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/MembershipModalPage.java,10,2,0,2,1,62,31,31.0,1.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/EditUserModalPage.java,22,8,1,2,1,293,119,36.625,0.25,true
1.2.1,console/src/main/java/org/apache/syncope/console/pages/ConfirmPasswordResetModalPage.java,6,2,0,2,1,62,31,31.0,1.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/pages/Configuration.java,420,10,1,132,28,355,119,35.5,13.2,true
1.2.1,console/src/main/java/org/apache/syncope/console/commons/Mode.java,54,2,0,54,27,62,31,31.0,27.0,false
1.2.1,console/src/main/java/org/apache/syncope/console/commons/LayoutType.java,86,2,0,86,43,62,31,31.0,43.0,false
1.2.1,core/src/test/java/org/apache/syncope/core/persistence/dao/EntitlementTest.java,5,5,1,0,0,146,119,29.2,0.0,true
1.2.1,core/src/main/java/org/apache/syncope/core/rest/controller/ConfigurationController.java,29,5,0,21,7,176,119,35.2,4.2,false
1.2.1,console/src/test/java/org/apache/syncope/console/UserTestITCase.java,237,3,0,15,5,35,13,11.666667,5.0,false
1.2.1,console/src/test/java/org/apache/syncope/console/TaskTestITCase.java,132,3,0,6,2,35,13,11.666667,2.0,false
1.2.1,console/src/test/java/org/apache/syncope/console/SchemaTestITCase.java,69,3,0,18,6,35,13,11.666667,6.0,false
1.2.1,console/src/test/java/org/apache/syncope/console/RoleTestITCase.java,276,3,0,15,5,35,13,11.666667,5.0,false
1.2.1,console/src/test/java/org/apache/syncope/console/ResourceTestITCase.java,165,3,0,9,3,35,13,11.666667,3.0,false
1.2.1,console/src/test/java/org/apache/syncope/console/ReportTestITCase.java,168,3,0,9,3,35,13,11.666667,3.0,false
1.2.1,console/src/test/java/org/apache/syncope/console/EditProfileTestITCase.java,91,5,1,12,4,45,13,9.0,2.4,true
1.2.1,console/src/test/java/org/apache/syncope/console/ConnInstanceTestITCase.java,342,8,2,90,39,194,119,24.25,11.25,true
1.2.1,console/src/test/java/org/apache/syncope/console/ConfigurationTestITCase.java,699,6,1,15,4,186,119,31.0,2.5,true
1.2.1,console/src/test/java/org/apache/syncope/console/AccessTestITCase.java,117,3,0,6,2,35,13,11.666667,2.0,false
1.2.1,console/src/test/java/org/apache/syncope/console/AbstractTest.java,65,5,1,18,6,45,13,9.0,3.6,true
1.2.1,installer/src/main/java/org/apache/syncope/installer/utilities/MavenUtils.java,4,2,0,0,0,15,13,7.5,0.0,false
